; Galvo Command Execution Queue
; Total Commands: 6044
MARK X:24081 Y:42882 SPEED:100000
MARK X:24095 Y:42882 SPEED:100000
MARK X:24109 Y:42882 SPEED:100000
MARK X:24123 Y:42883 SPEED:100000
MARK X:24138 Y:42883 SPEED:100000
MARK X:24152 Y:42883 SPEED:100000
MARK X:24166 Y:42883 SPEED:100000
MARK X:24180 Y:42883 SPEED:100000
MARK X:24194 Y:42883 SPEED:100000
MARK X:24209 Y:42883 SPEED:100000
MARK X:24223 Y:42883 SPEED:100000
MARK X:24237 Y:42883 SPEED:100000
MARK X:24251 Y:42883 SPEED:100000
MARK X:24265 Y:42883 SPEED:100000
MARK X:24280 Y:42883 SPEED:100000
MARK X:24294 Y:42884 SPEED:100000
MARK X:24308 Y:42884 SPEED:100000
MARK X:24322 Y:42884 SPEED:100000
MARK X:24336 Y:42884 SPEED:100000
MARK X:24351 Y:42884 SPEED:100000
MARK X:24365 Y:42884 SPEED:100000
MARK X:24379 Y:42884 SPEED:100000
MARK X:24393 Y:42884 SPEED:100000
MARK X:24407 Y:42884 SPEED:100000
MARK X:24422 Y:42884 SPEED:100000
MARK X:24436 Y:42884 SPEED:100000
MARK X:24450 Y:42885 SPEED:100000
MARK X:24464 Y:42885 SPEED:100000
MARK X:24478 Y:42885 SPEED:100000
MARK X:24492 Y:42885 SPEED:100000
MARK X:24507 Y:42885 SPEED:100000
MARK X:24521 Y:42885 SPEED:100000
MARK X:24535 Y:42885 SPEED:100000
MARK X:24549 Y:42885 SPEED:100000
MARK X:24563 Y:42885 SPEED:100000
MARK X:24578 Y:42885 SPEED:100000
MARK X:24592 Y:42885 SPEED:100000
MARK X:24606 Y:42885 SPEED:100000
MARK X:24620 Y:42886 SPEED:100000
MARK X:24634 Y:42886 SPEED:100000
MARK X:24649 Y:42886 SPEED:100000
MARK X:24663 Y:42886 SPEED:100000
MARK X:24677 Y:42886 SPEED:100000
MARK X:24691 Y:42886 SPEED:100000
MARK X:24705 Y:42886 SPEED:100000
MARK X:24720 Y:42886 SPEED:100000
MARK X:24734 Y:42886 SPEED:100000
MARK X:24748 Y:42886 SPEED:100000
MARK X:24762 Y:42886 SPEED:100000
MARK X:24776 Y:42887 SPEED:100000
MARK X:24791 Y:42887 SPEED:100000
MARK X:24805 Y:42887 SPEED:100000
MARK X:24819 Y:42887 SPEED:100000
MARK X:24833 Y:42887 SPEED:100000
MARK X:24847 Y:42887 SPEED:100000
MARK X:24861 Y:42887 SPEED:100000
MARK X:24876 Y:42887 SPEED:100000
MARK X:24890 Y:42887 SPEED:100000
MARK X:24904 Y:42887 SPEED:100000
MARK X:24918 Y:42887 SPEED:100000
MARK X:24932 Y:42888 SPEED:100000
MARK X:24947 Y:42888 SPEED:100000
MARK X:24961 Y:42888 SPEED:100000
MARK X:24975 Y:42888 SPEED:100000
MARK X:24989 Y:42888 SPEED:100000
MARK X:25003 Y:42888 SPEED:100000
MARK X:25018 Y:42888 SPEED:100000
MARK X:25032 Y:42888 SPEED:100000
MARK X:25046 Y:42888 SPEED:100000
MARK X:25060 Y:42888 SPEED:100000
MARK X:25074 Y:42888 SPEED:100000
MARK X:25089 Y:42888 SPEED:100000
MARK X:25103 Y:42889 SPEED:100000
MARK X:25117 Y:42889 SPEED:100000
MARK X:25131 Y:42889 SPEED:100000
MARK X:25145 Y:42889 SPEED:100000
MARK X:25159 Y:42889 SPEED:100000
MARK X:25174 Y:42889 SPEED:100000
MARK X:25188 Y:42889 SPEED:100000
MARK X:25202 Y:42889 SPEED:100000
MARK X:25216 Y:42889 SPEED:100000
MARK X:25230 Y:42889 SPEED:100000
MARK X:25245 Y:42889 SPEED:100000
MARK X:25259 Y:42890 SPEED:100000
MARK X:25273 Y:42890 SPEED:100000
MARK X:25287 Y:42890 SPEED:100000
MARK X:25301 Y:42890 SPEED:100000
MARK X:25316 Y:42890 SPEED:100000
MARK X:25330 Y:42890 SPEED:100000
MARK X:25344 Y:42890 SPEED:100000
MARK X:25358 Y:42890 SPEED:100000
MARK X:25372 Y:42890 SPEED:100000
MARK X:25387 Y:42890 SPEED:100000
MARK X:25401 Y:42890 SPEED:100000
MARK X:25415 Y:42890 SPEED:100000
MARK X:25429 Y:42891 SPEED:100000
MARK X:25443 Y:42891 SPEED:100000
MARK X:25458 Y:42891 SPEED:100000
MARK X:25472 Y:42891 SPEED:100000
MARK X:25486 Y:42891 SPEED:100000
MARK X:25500 Y:42891 SPEED:100000
MARK X:25514 Y:42891 SPEED:100000
MARK X:25528 Y:42891 SPEED:100000
MARK X:25543 Y:42891 SPEED:100000
MARK X:25557 Y:42891 SPEED:100000
MARK X:25571 Y:42891 SPEED:100000
MARK X:25585 Y:42892 SPEED:100000
MARK X:25599 Y:42892 SPEED:100000
MARK X:25614 Y:42892 SPEED:100000
MARK X:25628 Y:42892 SPEED:100000
MARK X:25642 Y:42892 SPEED:100000
MARK X:25656 Y:42892 SPEED:100000
MARK X:25670 Y:42892 SPEED:100000
MARK X:25685 Y:42892 SPEED:100000
MARK X:25699 Y:42892 SPEED:100000
MARK X:25713 Y:42892 SPEED:100000
MARK X:25727 Y:42892 SPEED:100000
MARK X:25741 Y:42892 SPEED:100000
MARK X:25756 Y:42893 SPEED:100000
MARK X:25770 Y:42893 SPEED:100000
MARK X:25784 Y:42893 SPEED:100000
MARK X:25798 Y:42893 SPEED:100000
MARK X:25812 Y:42893 SPEED:100000
MARK X:25827 Y:42893 SPEED:100000
MARK X:25841 Y:42893 SPEED:100000
MARK X:25855 Y:42893 SPEED:100000
MARK X:25869 Y:42893 SPEED:100000
MARK X:25883 Y:42893 SPEED:100000
MARK X:25897 Y:42893 SPEED:100000
MARK X:25912 Y:42894 SPEED:100000
MARK X:25926 Y:42894 SPEED:100000
MARK X:25940 Y:42894 SPEED:100000
MARK X:25954 Y:42894 SPEED:100000
MARK X:25968 Y:42894 SPEED:100000
MARK X:25983 Y:42894 SPEED:100000
MARK X:25997 Y:42894 SPEED:100000
MARK X:26011 Y:42894 SPEED:100000
MARK X:26025 Y:42894 SPEED:100000
MARK X:26039 Y:42894 SPEED:100000
MARK X:26054 Y:42894 SPEED:100000
MARK X:26068 Y:42894 SPEED:100000
MARK X:26082 Y:42895 SPEED:100000
MARK X:26096 Y:42895 SPEED:100000
MARK X:26110 Y:42895 SPEED:100000
MARK X:26125 Y:42895 SPEED:100000
MARK X:26139 Y:42895 SPEED:100000
MARK X:26153 Y:42895 SPEED:100000
MARK X:26167 Y:42895 SPEED:100000
MARK X:26181 Y:42895 SPEED:100000
MARK X:26196 Y:42895 SPEED:100000
MARK X:26210 Y:42895 SPEED:100000
MARK X:26224 Y:42895 SPEED:100000
MARK X:26238 Y:42896 SPEED:100000
MARK X:26252 Y:42896 SPEED:100000
MARK X:26266 Y:42896 SPEED:100000
MARK X:26281 Y:42896 SPEED:100000
MARK X:26295 Y:42896 SPEED:100000
MARK X:26309 Y:42896 SPEED:100000
MARK X:26323 Y:42896 SPEED:100000
MARK X:26337 Y:42896 SPEED:100000
MARK X:26352 Y:42896 SPEED:100000
MARK X:26366 Y:42896 SPEED:100000
MARK X:26380 Y:42896 SPEED:100000
MARK X:26394 Y:42896 SPEED:100000
MARK X:26408 Y:42897 SPEED:100000
MARK X:26423 Y:42897 SPEED:100000
MARK X:26437 Y:42897 SPEED:100000
MARK X:26451 Y:42897 SPEED:100000
MARK X:26465 Y:42897 SPEED:100000
MARK X:26479 Y:42897 SPEED:100000
MARK X:26494 Y:42897 SPEED:100000
MARK X:26508 Y:42897 SPEED:100000
MARK X:26522 Y:42897 SPEED:100000
MARK X:26536 Y:42897 SPEED:100000
MARK X:26550 Y:42897 SPEED:100000
MARK X:26565 Y:42898 SPEED:100000
MARK X:26579 Y:42898 SPEED:100000
MARK X:26593 Y:42898 SPEED:100000
MARK X:26607 Y:42898 SPEED:100000
MARK X:26621 Y:42898 SPEED:100000
MARK X:26635 Y:42898 SPEED:100000
MARK X:26650 Y:42898 SPEED:100000
MARK X:26664 Y:42898 SPEED:100000
MARK X:26678 Y:42898 SPEED:100000
MARK X:26692 Y:42898 SPEED:100000
MARK X:26706 Y:42898 SPEED:100000
MARK X:26721 Y:42899 SPEED:100000
MARK X:26735 Y:42899 SPEED:100000
MARK X:26749 Y:42899 SPEED:100000
MARK X:26763 Y:42899 SPEED:100000
MARK X:26777 Y:42899 SPEED:100000
MARK X:26792 Y:42899 SPEED:100000
MARK X:26806 Y:42899 SPEED:100000
MARK X:26820 Y:42899 SPEED:100000
MARK X:26834 Y:42899 SPEED:100000
MARK X:26848 Y:42899 SPEED:100000
MARK X:26863 Y:42899 SPEED:100000
MARK X:26877 Y:42899 SPEED:100000
MARK X:26891 Y:42900 SPEED:100000
MARK X:26905 Y:42900 SPEED:100000
MARK X:26919 Y:42900 SPEED:100000
MARK X:26934 Y:42900 SPEED:100000
MARK X:26948 Y:42900 SPEED:100000
MARK X:26962 Y:42900 SPEED:100000
MARK X:26976 Y:42900 SPEED:100000
MARK X:26990 Y:42900 SPEED:100000
MARK X:27004 Y:42900 SPEED:100000
MARK X:27019 Y:42900 SPEED:100000
MARK X:27033 Y:42900 SPEED:100000
MARK X:27047 Y:42901 SPEED:100000
MARK X:27061 Y:42901 SPEED:100000
MARK X:27075 Y:42901 SPEED:100000
MARK X:27090 Y:42901 SPEED:100000
MARK X:27104 Y:42901 SPEED:100000
MARK X:27118 Y:42901 SPEED:100000
MARK X:27132 Y:42901 SPEED:100000
MARK X:27146 Y:42901 SPEED:100000
MARK X:27161 Y:42901 SPEED:100000
MARK X:27175 Y:42901 SPEED:100000
MARK X:27189 Y:42901 SPEED:100000
MARK X:27203 Y:42901 SPEED:100000
MARK X:27217 Y:42902 SPEED:100000
MARK X:27232 Y:42902 SPEED:100000
MARK X:27246 Y:42902 SPEED:100000
MARK X:27260 Y:42902 SPEED:100000
MARK X:27274 Y:42902 SPEED:100000
MARK X:27288 Y:42902 SPEED:100000
MARK X:27303 Y:42902 SPEED:100000
MARK X:27317 Y:42902 SPEED:100000
MARK X:27331 Y:42902 SPEED:100000
MARK X:27345 Y:42902 SPEED:100000
MARK X:27359 Y:42902 SPEED:100000
MARK X:27373 Y:42903 SPEED:100000
MARK X:27388 Y:42903 SPEED:100000
MARK X:27402 Y:42903 SPEED:100000
MARK X:27416 Y:42903 SPEED:100000
MARK X:27430 Y:42903 SPEED:100000
MARK X:27444 Y:42903 SPEED:100000
MARK X:27459 Y:42903 SPEED:100000
MARK X:27473 Y:42903 SPEED:100000
MARK X:27487 Y:42903 SPEED:100000
MARK X:27501 Y:42903 SPEED:100000
MARK X:27515 Y:42903 SPEED:100000
MARK X:27530 Y:42903 SPEED:100000
MARK X:27544 Y:42904 SPEED:100000
MARK X:27558 Y:42904 SPEED:100000
MARK X:27572 Y:42904 SPEED:100000
MARK X:27586 Y:42904 SPEED:100000
MARK X:27601 Y:42904 SPEED:100000
MARK X:27615 Y:42904 SPEED:100000
MARK X:27629 Y:42904 SPEED:100000
MARK X:27643 Y:42904 SPEED:100000
MARK X:27657 Y:42904 SPEED:100000
MARK X:27672 Y:42904 SPEED:100000
MARK X:27686 Y:42904 SPEED:100000
MARK X:27700 Y:42905 SPEED:100000
MARK X:27714 Y:42905 SPEED:100000
MARK X:27728 Y:42905 SPEED:100000
MARK X:27742 Y:42905 SPEED:100000
MARK X:27757 Y:42905 SPEED:100000
MARK X:27771 Y:42905 SPEED:100000
MARK X:27785 Y:42905 SPEED:100000
MARK X:27799 Y:42905 SPEED:100000
MARK X:27813 Y:42905 SPEED:100000
MARK X:27828 Y:42905 SPEED:100000
MARK X:27842 Y:42905 SPEED:100000
MARK X:27856 Y:42905 SPEED:100000
MARK X:27870 Y:42906 SPEED:100000
MARK X:27884 Y:42906 SPEED:100000
MARK X:27899 Y:42906 SPEED:100000
MARK X:27913 Y:42906 SPEED:100000
MARK X:27927 Y:42906 SPEED:100000
MARK X:27941 Y:42906 SPEED:100000
MARK X:27955 Y:42906 SPEED:100000
MARK X:27970 Y:42906 SPEED:100000
MARK X:27984 Y:42906 SPEED:100000
MARK X:27998 Y:42906 SPEED:100000
MARK X:28012 Y:42906 SPEED:100000
MARK X:28026 Y:42907 SPEED:100000
MARK X:28041 Y:42907 SPEED:100000
MARK X:28055 Y:42907 SPEED:100000
MARK X:28069 Y:42907 SPEED:100000
MARK X:28083 Y:42907 SPEED:100000
MARK X:28097 Y:42907 SPEED:100000
MARK X:28111 Y:42907 SPEED:100000
MARK X:28126 Y:42907 SPEED:100000
MARK X:28140 Y:42907 SPEED:100000
MARK X:28154 Y:42907 SPEED:100000
MARK X:28168 Y:42907 SPEED:100000
MARK X:28182 Y:42907 SPEED:100000
MARK X:28197 Y:42908 SPEED:100000
MARK X:28211 Y:42908 SPEED:100000
MARK X:28225 Y:42908 SPEED:100000
MARK X:28239 Y:42908 SPEED:100000
MARK X:28253 Y:42908 SPEED:100000
MARK X:28268 Y:42908 SPEED:100000
MARK X:28282 Y:42908 SPEED:100000
MARK X:28296 Y:42908 SPEED:100000
MARK X:28310 Y:42908 SPEED:100000
MARK X:28324 Y:42908 SPEED:100000
MARK X:28339 Y:42908 SPEED:100000
MARK X:28353 Y:42909 SPEED:100000
MARK X:28367 Y:42909 SPEED:100000
MARK X:28381 Y:42909 SPEED:100000
MARK X:28395 Y:42909 SPEED:100000
MARK X:28410 Y:42909 SPEED:100000
MARK X:28424 Y:42909 SPEED:100000
MARK X:28438 Y:42909 SPEED:100000
MARK X:28452 Y:42909 SPEED:100000
MARK X:28466 Y:42909 SPEED:100000
MARK X:28480 Y:42909 SPEED:100000
MARK X:28495 Y:42909 SPEED:100000
MARK X:28509 Y:42910 SPEED:100000
MARK X:28523 Y:42910 SPEED:100000
MARK X:28537 Y:42910 SPEED:100000
MARK X:28551 Y:42910 SPEED:100000
MARK X:28566 Y:42910 SPEED:100000
MARK X:28580 Y:42910 SPEED:100000
MARK X:28594 Y:42910 SPEED:100000
MARK X:28608 Y:42910 SPEED:100000
MARK X:28622 Y:42910 SPEED:100000
MARK X:28637 Y:42910 SPEED:100000
MARK X:28651 Y:42910 SPEED:100000
MARK X:28665 Y:42910 SPEED:100000
MARK X:28679 Y:42911 SPEED:100000
MARK X:28693 Y:42911 SPEED:100000
MARK X:28708 Y:42911 SPEED:100000
MARK X:28722 Y:42911 SPEED:100000
MARK X:28736 Y:42911 SPEED:100000
MARK X:28750 Y:42911 SPEED:100000
MARK X:28764 Y:42911 SPEED:100000
MARK X:28779 Y:42911 SPEED:100000
MARK X:28793 Y:42911 SPEED:100000
MARK X:28807 Y:42911 SPEED:100000
MARK X:28821 Y:42911 SPEED:100000
MARK X:28835 Y:42912 SPEED:100000
MARK X:28849 Y:42912 SPEED:100000
MARK X:28864 Y:42912 SPEED:100000
MARK X:28878 Y:42912 SPEED:100000
MARK X:28892 Y:42912 SPEED:100000
MARK X:28906 Y:42912 SPEED:100000
MARK X:28920 Y:42912 SPEED:100000
MARK X:28935 Y:42912 SPEED:100000
MARK X:28949 Y:42912 SPEED:100000
MARK X:28963 Y:42912 SPEED:100000
MARK X:28977 Y:42912 SPEED:100000
MARK X:28991 Y:42912 SPEED:100000
MARK X:29006 Y:42913 SPEED:100000
MARK X:29020 Y:42913 SPEED:100000
MARK X:29034 Y:42913 SPEED:100000
MARK X:29048 Y:42913 SPEED:100000
MARK X:29062 Y:42913 SPEED:100000
MARK X:29077 Y:42913 SPEED:100000
MARK X:29091 Y:42913 SPEED:100000
MARK X:29105 Y:42913 SPEED:100000
MARK X:29119 Y:42913 SPEED:100000
MARK X:29133 Y:42913 SPEED:100000
MARK X:29147 Y:42913 SPEED:100000
MARK X:29162 Y:42914 SPEED:100000
MARK X:29176 Y:42914 SPEED:100000
MARK X:29190 Y:42914 SPEED:100000
MARK X:29204 Y:42914 SPEED:100000
MARK X:29218 Y:42914 SPEED:100000
MARK X:29233 Y:42914 SPEED:100000
MARK X:29247 Y:42914 SPEED:100000
MARK X:29261 Y:42914 SPEED:100000
MARK X:29275 Y:42914 SPEED:100000
MARK X:29289 Y:42914 SPEED:100000
MARK X:29304 Y:42914 SPEED:100000
MARK X:29318 Y:42914 SPEED:100000
MARK X:29332 Y:42915 SPEED:100000
MARK X:29346 Y:42915 SPEED:100000
MARK X:29360 Y:42915 SPEED:100000
MARK X:29375 Y:42915 SPEED:100000
MARK X:29389 Y:42915 SPEED:100000
MARK X:29403 Y:42915 SPEED:100000
MARK X:29417 Y:42915 SPEED:100000
MARK X:29431 Y:42915 SPEED:100000
MARK X:29446 Y:42915 SPEED:100000
MARK X:29460 Y:42915 SPEED:100000
MARK X:29474 Y:42915 SPEED:100000
MARK X:29488 Y:42916 SPEED:100000
MARK X:29502 Y:42916 SPEED:100000
MARK X:29516 Y:42916 SPEED:100000
MARK X:29531 Y:42916 SPEED:100000
MARK X:29545 Y:42916 SPEED:100000
MARK X:29559 Y:42916 SPEED:100000
MARK X:29573 Y:42916 SPEED:100000
MARK X:29587 Y:42916 SPEED:100000
MARK X:29602 Y:42916 SPEED:100000
MARK X:29616 Y:42916 SPEED:100000
MARK X:29630 Y:42916 SPEED:100000
MARK X:29644 Y:42916 SPEED:100000
MARK X:29658 Y:42917 SPEED:100000
MARK X:29673 Y:42917 SPEED:100000
MARK X:29687 Y:42917 SPEED:100000
MARK X:29701 Y:42917 SPEED:100000
MARK X:29715 Y:42917 SPEED:100000
MARK X:29729 Y:42917 SPEED:100000
MARK X:29744 Y:42917 SPEED:100000
MARK X:29758 Y:42917 SPEED:100000
MARK X:29772 Y:42917 SPEED:100000
