[12:46:21] INIT_CARD result=1 cards=1
[12:46:22] DISABLED_Z_HARD_LIMIT
[12:46:22] RESET_Z_AXIS
[12:46:27] MOVE_XY 32767 32767 SPEED=1000
[12:47:12] AXIS_MOVE Z REL 200 4000
[12:47:12] AXIS_MOVE Z REL 200 4000
[12:47:13] AXIS_MOVE Z REL 200 4000
[12:47:13] AXIS_MOVE Z REL 200 4000
[12:47:13] AXIS_MOVE Z REL 200 4000
[12:47:13] AXIS_MOVE Z REL 200 4000
[12:47:14] AXIS_MOVE Z REL 200 4000
[12:47:14] AXIS_MOVE Z REL 200 4000
[12:47:14] AXIS_MOVE Z REL 200 4000
[12:47:14] AXIS_MOVE Z REL 200 4000
[12:47:15] AXIS_MOVE Z REL 200 4000
[12:47:15] AXIS_MOVE Z REL 200 4000
[12:47:15] AXIS_MOVE Z REL 200 4000
[12:47:15] AXIS_MOVE Z REL 200 4000
[12:47:16] AXIS_MOVE Z REL 200 4000
[12:47:16] AXIS_MOVE Z REL 200 4000
[12:47:16] AXIS_MOVE Z REL 200 4000
[12:47:16] AXIS_MOVE Z REL 200 4000
[12:47:17] AXIS_MOVE Z REL 200 4000
[12:47:17] AXIS_MOVE Z REL 200 4000
[12:47:17] AXIS_MOVE Z REL 200 4000
[12:47:17] AXIS_MOVE Z REL 200 4000
[12:47:18] AXIS_MOVE Z REL 200 4000
[12:47:18] AXIS_MOVE Z REL 200 4000
[12:47:18] AXIS_MOVE Z REL 200 4000
[12:47:18] AXIS_MOVE Z REL 200 4000
[12:47:19] AXIS_MOVE Z REL 200 4000
[12:47:19] AXIS_MOVE Z REL 200 4000
[12:47:19] AXIS_MOVE Z REL 200 4000
[12:47:19] AXIS_MOVE Z REL 200 4000
[12:47:20] AXIS_MOVE Z REL 200 4000
[12:47:20] AXIS_MOVE Z REL 200 4000
[12:47:20] AXIS_MOVE Z REL 200 4000
[12:47:20] AXIS_MOVE Z REL 200 4000
[12:47:21] AXIS_MOVE Z REL 200 4000
[12:47:21] AXIS_MOVE Z REL 200 4000
[12:47:21] AXIS_MOVE Z REL 200 4000
[12:47:21] AXIS_MOVE Z REL 200 4000
[12:47:22] AXIS_MOVE Z REL 200 4000
[12:47:22] AXIS_MOVE Z REL 200 4000
[12:47:22] AXIS_MOVE Z REL 200 4000
[12:47:22] AXIS_MOVE Z REL 200 4000
[12:47:23] AXIS_MOVE Z REL 200 4000
[12:47:23] AXIS_MOVE Z REL 200 4000
[12:47:23] AXIS_MOVE Z REL 200 4000
[12:47:23] AXIS_MOVE Z REL 200 4000
[12:47:24] AXIS_MOVE Z REL 200 4000
[12:47:24] AXIS_MOVE Z REL 200 4000
[12:47:24] AXIS_MOVE Z REL 200 4000
[12:47:24] AXIS_MOVE Z REL 200 4000
[12:47:25] AXIS_MOVE Z REL 200 4000
